title,lifetime_gross,year
Maidentrip,68243,2013
The Inheritance,68215,2004
Le Amiche (re-issue),68167,2010
The Third Murder,67994,2018
The Pervert's Guide to Ideology,67966,2013
Dancing at the Blue Iguana,67913,2001
Brenda Starr,67878,1992
I Am Big Bird,67845,2015
The Messenger (2015),67816,2015
Happy Valley,67665,2008
The Dark Horse,67533,2016
John Rabe,67519,2010
Stuck,67505,2008
Lagerfeld Confidential,67500,2007
What Alice Found,67436,2003
Beyond the Gates (2004),67433,2004
For No Good Reason,67421,2014
Ping Pong,67421,1987
Turbo Kid,67132,2015
The Sun Behind the Clouds: Tibet's Struggle for Freedom,67095,2010
Phantom Detective,67054,2016
People Places Things,67046,2015
Allah Made Me Funny,66903,2008
9 Songs,66853,2005
Pandora's Promise,66680,2013
Max Rose,66680,2016
The Notebook (2014),66559,2014
Diggers,66517,2007
Tideland,66453,2006
Vodka Lemon,66361,2004
Deadfall (2012),66351,2012
Pinjar,66290,2003
Dance Me Outside,66229,1995
Absolute Wilson,66217,2006
Just a Little Harmless Sex,66194,1999
King Georges,66175,2016
A Beautiful Life,66171,2011
Dancing Across Borders,66166,2010
Beijing Bicycle,66131,2002
Shaolin,66099,2011
Darshan,66032,2006
Spooky House,65875,2002
The Talent Given Us,65827,2005
Shadey,65817,1987
My Brother,65797,2007
Titanic Town,65793,2000
Among Giants,65748,1999
Eden,65460,2015
The Real Dirt on Farmer John,65429,2006
Architects of Denial,65424,2017
Beuys,65410,2018
Redacted,65388,2007
The Violin,65298,2007
Mad About Mambo,65283,2000
Madame Butterfly,65196,1996
On the Run: Trilogy 1,65172,2004
Shoujyo: The Adolescent,65171,2005
Through a Lens Darkly,65169,2014
Julia (2009),65108,2009
Aberdeen,65090,2001
Racing Dreams,65082,2010
The Wild Child (re-issue),65051,2008
CSNY: Deja Vu,65025,2008
Right at Your Door,65018,2007
Nice Girls Don't Explode,65000,1987
James' Journey to Jerusalem,64967,2004
Toys in the Attic,64918,2012
Under the Tree,64903,2018
Bloodline,64698,2008
Monsieur Verdoux (re-issue),64636,2008
Battle of the Brides (Co Dau Dai Chien),64572,2011
Serbis,64536,2009
The Duke of Burgundy,64521,2015
Let the Fire Burn,64489,2013
Even Money,64458,2007
The Teacher,64437,2017
My Lucky Star,64432,2013
Girlfriend Boyfriend - GF BF,64414,2012
Just a Kiss,64389,2002
D'Lucky Ones,64352,2006
Rock School,64310,2005
Cohen and Tate,64227,1989
Losing Chase,64161,1996
The World,64123,2005
Art of the Steal,64065,2014
Chihwaseon,64029,2003
The Human Resources Manager,64014,2011
Jealousy,63946,2014
Microbe & Gasoline,63802,2016
The Office,63675,2015
Dans Paris,63667,2007
Her Majesty,63652,2004
Heropanti,63649,2014
The Details,63595,2012
The Tenth Man,63564,2016
A Plumm Summer,63521,2008
S.F.W.,63513,1995
All About Eve,63463,1950
National Lampoon's Movie Madness,63405,1982
Untold Scandal,63332,2004
Trapped (2016),63241,2016
I Can Speak,63239,2017
Delta of Venus,63174,1995
The Nines,63165,2007
Skills Like This,63163,2009
No Tears for the Dead,63063,2014
Summer Palace,63045,2008
Creative Control,63014,2016
Let the Bullets Fly,63012,2012
Aftershock (Tangshan Dadizhen),62962,2010
Private Property,62897,2007
The Mudge Boy,62852,2004
Cool It,62713,2010
No Such Thing,62703,2002
Survival Quest,62683,1989
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,62660,2015
Becoming Traviata,62652,2013
The Order of Myths,62645,2008
Meet Bill,62597,2008
Tomorrow,62511,2017
The Last Sentence,62506,2014
The Providence Effect,62500,2009
The Tiger Hunter,62398,2017
Mail Order Wife,62387,2005
Vajra Sky Over Tibet,62356,2006
Mifune: The Last Samurai,62279,2016
Maya Lin: A Strong Clear Vision,62186,1995
Public Speaking,62173,2011
Posterboy,62062,2006
Proteus,62031,2004
Trigun: Badlands Rumble,62027,2011
Tragedy Girls,61899,2017
Love Is All There Is,61875,1996
Alice's House (A Casa de Alice),61822,2008
King Lear,61821,1988
If a Tree Falls: A Story of the Earth Liberation Front,61794,2011
Love at Stake,61789,1988
Sightseers,61782,2013
Viva Riva!,61759,2011
Deal,61626,2008
Alamar,61613,2010
Flowers,61568,2015
Only You,61565,2015
Backwards,61465,2012
Time of the Wolf,61439,2004
Donald Cried,61406,2017
Silent Tongue,61274,1994
Judy Berlin,61236,2000
Young and Beautiful,61067,2014
Dark Star: H.R. Giger's World,61044,2015
War Photographer,61040,2002
Don't Stop Believin': Everyman's Journey,61018,2013
The Holy Mountain (re-issue),61001,2007
Love and Honor,60910,2008
Chelsea Walls,60902,2002
The Wicker Man - Final Cut,60891,2013
The Good Old Naughty Days,60862,2003
It's Pat,60822,1994
It's a Disaster,60818,2013
You I Love,60815,2004
Girlhood (2015),60765,2015
Aurora Borealis,60729,2006
The Bulgarian Lovers,60712,2004
Rachel River,60698,1989
Mister Foe,60641,2008
How to Live Forever,60630,2011
Noi,60555,2004
Siddharth,60537,2014
The Long Way Home,60509,1997
Too Late,60438,2016
Jerichow,60379,2009
Treeless Mountain,60336,2009
Limelight,60335,2011
Boogie Man: The Lee Atwater Story,60332,2008
Worlds Apart,60298,2017
Crime After Crime,60291,2011
Girl Asleep,60289,2016
Joe the King,60279,1999
Neighboring Sounds,60255,2012
Ikiru (Re-issue),60239,2002
Jauja,60231,2015
Never Goin' Back,60215,2018
How I Live Now,60213,2013
Silent Light,60200,2009
Presenting Princess Shaw,60197,2016
Carnage,60158,2003
Gueros,60114,2015
Just One Drop,60078,2017
Gregory Crewdson: Brief Encounters,60064,2012
Cooties,60058,2015
Manolo: The Boy Who Made Shoes for Lizards,60056,2017
Down and Out with the Dolls,60000,2003
The Million Dollar Hotel,59989,2001
3 (2011),59954,2011
The Force (2017),59912,2017
Bicycling with Moliere,59874,2014
The Alarmist,59864,1998
Where is Kyra?,59717,2018
Frontera,59696,2014
Wetlands,59478,2014
Murder 2,59472,2011
Time Renegades,59425,2016
Cheap Thrills,59424,2014
Ten Little Indians,59405,1989
Sweet Dreams (2013),59403,2013
Bomb City,59329,2018
Bang! The Bert Berns Story,59299,2017
Crossing the Line (1991),59227,1991
Walk of Shame,59209,2014
Roman Polanski: Wanted and Desired,59192,2008
Phobia,59167,1980
The Young Unknowns,59166,2003
Declaration of War,59100,2012
The Trials of Muhammad Ali,59081,2013
Vulgaria,59059,2012
Screen Door Jesus,59000,2005
"Westwood: Punk, Icon, Activist",58979,2018
Shiloh 2: Shiloh Season,58946,1999
The One I Wrote For You,58872,2014
Sonatine,58834,1998
Maxed Out,58829,2007
Side By Side,58825,2012
The Aura,58804,2006
What We Do Is Secret,58776,2008
Sagrada: The Mystery of Creation,58755,2014
I Smile Back,58738,2015
Mother of Tears,58669,2008
Wasabi Tuna,58667,2004
The Conformist (2014 re-release),58657,2014
Eyes Without a Face (Re-issue),58565,2003
Aftershock,58510,2013
Home Delivery,58499,2005
And God Spoke,58484,1994
Four Seasons Lodge,58334,2009
Rudderless,58293,2014
Gozu,58202,2004
Faust,58132,2013
Betty,58099,1993
Prey for Rock and Roll,58040,2003
Voices of Iraq,57999,2004
Il Boom (2017 re-release),57962,2017
House of Fools,57862,2003
The End of Poverty?,57805,2009
Vanishing Time: A Boy Who Returned,57759,2016
Rififi (2015 re-release),57749,2015
Command and Control,57635,2016
Only the Strong Survive,57581,2003
Woman Walks Ahead,57528,2018
Sold,57527,2016
Borgman,57474,2014
"Patrik, Age 1.5",57468,2009
Lost in Thailand,57387,2013
Bhavesh Joshi Superhero,57376,2018
Ramen Heads,57345,2018
Finding Amanda,57297,2008
Keys to Tulsa,57252,1997
Kuch Khatti Kuch Meethi,57188,2001
Gumby: The Movie,57100,1995
Pele: Birth of a Legend,57046,2016
The Way We Laughed,57009,2001
The Embalmer,56878,2003
The Canyons,56825,2013
The Rocket (2014),56823,2014
Ilo Ilo,56773,2014
Harvard Man,56653,2002
Children of the Century,56611,2002
The Bag Man,56574,2014
Farmageddon,56573,2011
The Two of Us,56558,2005
Django,56556,2018
DONGJU: The Portrait of a Poet,56550,2016
Beyond the Black Rainbow,56491,2012
The Turin Horse,56391,2012
Beautiful Losers,56386,2008
Big Men,56286,2014
Chapter 27,56215,2008
Divan,56214,2004
Wedding Doll,56196,2016
Kart Racer,56146,2003
Feast,56131,2006
Dorm Daze,56127,2003
Promenons-nous dans les bois,56119,2000
In Bloom,56092,2014
"God Said, 'Ha!'",55970,1999
Nijinsky: The Diaries of...,55968,2002
Beautiful Creatures,55835,2001
Terms and Conditions May Apply,55824,2013
L'attesa,55804,2016
Looking for Eric,55804,2010
Triad Election,55758,2007
Sangre de Mi Sangre,55730,2008
Hellion,55708,2014
Wings of Honneamise,55572,1995
The Gardener,55523,2018
Finding Joe,55518,2011
The Boys: The Sherman Brothers' Story,55513,2009
The Lovers and the Despot,55511,2016
Entertainment,55506,2015
The Paris Opera,55482,2017
The Other Side of the Street,55459,2005
Anthony Kaun Hai,55418,2006
Voyage of Time: The IMAX Experience,55409,2016
That Man: Peter Berlin,55398,2006
Bajatey Raho,55397,2013
Into Eternity,55366,2011
Dracula: Pages from a Virgin's Diary,55365,2003
C.O.G.,55301,2013
Natural Selection,55282,2012
Roadside Romeo,55202,2008
The Tracker,55188,2004
Shadow of China,55166,1991
Dirty Girl,55125,2011
Regression,55039,2016
Clown,55007,2016
Ciao America,54965,2002
Swimming Upstream,54965,2005
Starred Up,54915,2014
Snowmen,54805,2011
Once in the Life,54780,2000
Orphans,54754,2000
Six Ways to Sunday,54751,1999
10th & Wolf,54702,2006
The Nature of Existence,54645,2010
In a Dream,54640,2009
Lucky Break,54606,2002
Grand Champion,54579,2004
The Lottery,54543,2010
Half of a Yellow Sun,54529,2014
Twentynine Palms,54523,2004
The Harimaya Bridge,54473,2010
The Grandfather,54468,1999
La Boheme,54464,2009
L.A. Twister,54444,2004
RRRrrrr!!!,54361,2004
Schizo,54357,2005
Harlan: In the Shadow of Jew Suss,54305,2010
The Search for General Tso,54275,2015
Diary of a Chambermaid,54235,2016
Return of the Living Dead III,54207,1993
Mission Park,54204,2013
Extraordinary Mission,54174,2017
Le Joli Mai,54168,2013
Jungle,54125,2000
My King (Mon roi),54114,2016
The Ark of Mr. Chow,54075,2015
Broken Hill,54058,2009
Low Down,54051,2014
Hateship Loveship,54030,2014
Beloved Sisters,54030,2015
Deitrick Haddon's A Beautiful Soul,54008,2012
Dangerous Liaisons (2012),54000,2012
Surviving Progress,53953,2012
Afraid of the Dark,53932,1992
"1,000 Times Good Night",53895,2014
At Middleton,53837,2014
Ballot Measure 9,53819,1995
Free Men,53810,2012
Bart Got a Room,53760,2009
Not Forgotten,53744,2009
The Doctor from India,53743,2018
Hukkle,53715,2003
The Other F Word,53714,2011
Leonie,53692,2013
Intimate Relations,53662,1997
In a Valley of Violence,53647,2016
Kalamazoo?,53609,2006
Mannat,53589,2006
La Petite Jerusalem,53580,2006
Under the Domim Tree,53532,1996
God of War,53496,2017
Pandora's Box (1929) (re-issue),53485,2006
Plagues and Pleasures on the Salton Sea,53471,2006
High Strung (2016),53447,2016
93Queen,53361,2018
God of Vampires,53345,2010
High Lonesome: The Story of Bluegrass Music,53319,1994
Ugly Me,53250,2008
"Police, Adjective",53206,2009
Boys Life 4: Four Play,53169,2003
Aloft,53086,2015
A Trip to the Moon/The Extraordinary Voyage,52986,2012
Ping Pong Summer,52909,2014
Finishing the Game,52868,2007
Billy the Kid,52823,2007
To Be Takei,52823,2014
Southie,52819,1999
Occupy Unmasked,52768,2012
The Club,52761,2016
Being 17,52713,2016
"Women, Art, Revolution",52681,2011
Reggie's Prayer,52665,1997
Prisoners of the Sun,52654,1991
Close to You,52654,2006
PIERROT LE FOU,52640,2007
A Brother's Kiss,52632,1997
Red Lights (2012),52624,2012
Jodi Breakers,52618,2012
Hatchet 2,52604,2010
The Chumscrubber,52597,2005
Forza del Destino at Florence,52577,2008
The Last Man on the Moon,52482,2016
Cropsey,52476,2010
Visual Acoustics,52467,2009
Going Attractions: The Definitive Story of the American Drive-in Movie,52458,2013
OPA!,52453,2009
The Only Thrill,52436,1998
Trucker,52429,2009
Breath Made Visible,52387,2010
$9.99 ,52384,2008
The Spirit of '76,52310,1990
The Human Experience,52296,2010
Dynamite Warrior,52292,2007
Breaking the Rules,52285,1992
My Journey Through French Cinema,52214,2017
Nunzio,52195,1978
Dare Not Walk Alone,52166,2008
The Missing Picture,52164,2014
Follow Me Home,52155,1997
"Surfer, Dude",52132,2008
Before We Vanish,52087,2018
Screamers (2006),52034,2006
Herod's Law,52000,2003
My Annoying Brother,51996,2016
Exiled,51957,2007
Cemetery of Splendor,51950,2016
Will It Snow for Christmas?,51950,1997
Julian Po,51942,1997
Hiding and Seeking,51936,2004
Strength and Honor,51933,2007
Disorder,51879,2016
The Quay Brothers in 35mm,51858,2015
Beautiful Accident,51766,2017
Home of the Brave,51708,2006
Burma VJ,51672,2009
"This World, Then the Fireworks",51618,1997
Moonlight,51570,2006
Agnivarsha - The Fire and the Rain,51549,2002
Boss of It All,51548,2007
The Motel,51540,2006
Tickling Giants,51499,2017
Pulse (2005),51420,2005
Over Your Cities Grass Will Grow,51301,2011
The Great Silence (2018 re-release),51290,2018
Venus and Serena,51271,2013
Fall,51266,1997
Switchblade Sisters (Re-issue),51264,1996
Amu,51251,2007
God's Sandbox,51246,2005
God Loves Uganda,51229,2013
Battleship Potemkin (2011 re-issue),51198,2011
Vatel,51080,2000
The Unknowns,51035,2016
Alila,50961,2004
The Ogre,50935,1998
We Come As Friends,50921,2015
Grace Is Gone,50899,2007
Like for Likes,50839,2016
Gunnin' for That #1 Spot,50804,2008
johns,50789,1997
Sirf Tum,50785,1999
Long Night's Journey Into Day,50715,2000
December Boys,50715,2007
Sukiyaki Western Django,50659,2008
The Line King: Al Hirschfeld,50605,1996
The Ornithologist,50511,2017
After Midnight,50469,2004
Keep Quiet,50451,2017
American Casino,50437,2009
Legend of the Fist: The Return of Chen Zhen,50433,2011
Painted Skin: The Resurrection,50425,2012
Wake in Fright,50394,2012
Hollywood Vice Squad,50379,1986
Spontaneous Combustion,50367,1990
The Fitzgerald Family Christmas,50292,2012
In the Shadow of Women,50291,2016
The Take (2016),50269,2016
The Warrior,50257,2005
The Retrieval,50257,2014
You'll Get Over It,50256,2004
In Order of Disappearance,50251,2016
The Treasure,50203,2016
The Yes Men Are Revolting,50190,2015
Tristan und Isolde at La Scala,50172,2008
The Advocate: A Missing Body,50162,2015
Heist (2015),50136,2015
The Strange Case of Angelica,50135,2010
Fatima,50105,2016
Royal Kill,50090,2009
A Family Affair,50075,2003
Them,50057,2007
Le combat dans l'île (1962),50039,2009
The Discoverers,50020,2014
Frank & Jesse,50004,1994
Hamsun,50000,1997
AKA,49988,2003
The Bridge of San Luis Rey,49981,2005
Spring (2015),49970,2015
On the Outs,49940,2005
Transformation: The Life and Legacy of Werner Erhard,49919,2007
Putty Hill,49918,2011
How to Kill Your Neighbor's Dog,49894,2002
Fakers,49880,2007
Pianomania,49852,2011
Difret,49667,2015
The Fantasticks,49666,2000
Curdled,49620,1996
NOW: In the Wings on a World Stage,49591,2014
"Nico, 1988",49497,2018
Ciao,49494,2008
Red Herring,49480,2015
Zus & Zo,49468,2003
Brighton Rock (re-issue),49466,2009
Eureka,49388,2001
Boarding Gate,49333,2008
Shirin in Love,49254,2014
Confusion of Genders,49237,2003
The Amati Girls,49136,2001
La Rondine at Fenice,49088,2008
Assisted Living,49048,2005
13B,49043,2009
Mini's First Time,49034,2006
Orgasm Inc.,49001,2011
Chocolate (2005),49000,2005
Box Elder,48996,2008
Alice Neel,48969,2007
Bolivar Soy Yo,48911,2002
The Internet's Own Boy,48911,2014
The Situation,48896,2007
The Seven Five,48869,2015
A Thousand Clouds of Peace,48782,2004
Munnabhai Mbbs,48772,2003
The Perfect Host,48764,2011
Ghosts of Cite Soleil,48752,2007
A Birder's Guide to Everything,48713,2014
American Mustang,48700,2014
Bangistan,48694,2015
Mademoiselle C,48668,2013
The China Hustle,48650,2018
Shakespeare Behind Bars,48594,2006
Love U Mr. Kalakaar,48557,2011
Viva La Liberta,48541,2014
Person To Person,48499,2017
Following,48482,1999
Tales from Earthsea,48461,2010
Lucky Them,48421,2014
Decoding Annie Parker,48390,2014
"Lebanon, Pa.",48381,2011
XXY,48334,2008
Way Down Town,48333,2000
Lunacy,48324,2006
Napping Princess,48198,2017
Interview with the Assassin,48058,2002
Un Flic (2013 re-release),48040,2013
The Bookshop,48000,2018
National Lampoon's Blackball,48000,2005
Two Weeks,47986,2006
Saving Banksy,47965,2017
"All's Well, End's Well (2012)",47919,2012
"The Butcher, the Chef and the Swordsman",47896,2011
Love N Dancing,47812,2009
Quest (2017),47807,2017
An Amazing Couple: Trilogy 2,47806,2004
War of the Buttons (2012),47771,2012
From the Land of the Moon,47748,2017
Terror's Advocate,47724,2007
Sing Your Song,47718,2012
Alphaville (2013 re-release),47696,2014
So B. It,47627,2017
GMO OMG,47558,2013
Step Up to the Plate,47439,2012
Saving Brinton,47419,2017
Twist,47370,2004
Alabama Moon,47305,2011
Every Man for Himself (2010 re-issue),47262,2010
Ma ma,47258,2016
Tibet: A Buddhist Trilogy (re-issue),47243,2006
International Khiladi,47238,1999
Never Been Thawed,47219,2005
Went The Day Well? (2011 re-release),47214,2011
The Goebbels Experiment,47211,2005
"Fear, Anxiety and Depression",47148,1989
Owl and the Sparrow,47071,2009
Ivans XTC,47027,2002
Diary of a Country Priest (2011 re-release),46979,2011
Collapse,46964,2009
Appropriate Behavior,46912,2015
A Master Builder,46874,2014
Twenty Two,46796,2017
Connected,46782,2011
Tropical Malady,46750,2005
Dead Snow,46742,2009
On the Ropes,46737,1999
Table No. 21,46720,2013
Change of Plans,46714,2010
Tanna,46654,2016
The Woodmans,46623,2011
Casi Divas,46612,2009
Beeswax,46590,2009
White Dog,46509,1982
Margaret,46495,2011
Ca$h,46488,2010
Jewtopia,46437,2013
Shanghai,46425,2015
Etoiles: Dancers of the Paris Opera Ballet,46412,2002
William S. Burroughs: A Man Within,46380,2010
New Best Friend,46375,2002
The Last Time I Committed Suicide,46362,1997
Very Annie Mary,46352,2002
Wish You Were Here (2013),46347,2013
Racer & the Jailbird,46337,2018
Wanda (2018 re-release),46336,2018
The Tunnel,46296,2005
The Hip Hop Project,46208,2007
Ballplayer: Pelotero,46109,2012
William Kunstler: Disturbing the Universe,46078,2009
Breakfast with Scot,46060,2008
Panique (2017 re-release),46041,2017
Every Day,46029,2011
Shotgun Stories,46026,2007
Wrong (2013),46021,2013
Monk With a Camera,45938,2014
Beyond the Reach,45895,2015
The Greasy Strangler,45878,2016
Long Shot: The Kevin Laue Story,45874,2012
Just Another Love Story,45835,2009
An Alan Smithee Film: Burn Hollywood Burn,45779,1998
Rapt,45759,2011
Safe Men,45724,1998
Phoenix,45661,1998
Summer in the Forest,45542,2018
3 Weeks in Yerevan,45536,2016
Reaching for the Moon,45502,2013
Straight-Jacket,45497,2004
Feed,45488,1992
Texas Killing Fields,45469,2011
The Low Life,45436,1996
Lost River,45431,2015
Randy and the Mob,45410,2007
Filmistaan,45406,2014
Au Hasard Balthazar (Re-issue),45406,2003
Return to The Hiding Place,45405,2014
Dha Dkan,45380,2000
A Glimpse Inside the Mind of Charles Swan III,45350,2013
Sympathy for Mr. Vengeance,45289,2005
We Are X,45270,2016
Ai Weiwei: The Fake Case,45255,2014
There's No Place Like Utopia,45254,2014
Karobaar,45200,2000
CornerStore,45176,2011
American Made Movie,45175,2013
"Happy, Happy",45154,2011
The Zodiac,45148,2006
Candy,45128,2006
Brothers of the Head,45082,2006
Greedy Lying Bastards,45000,2013
Bailey's Billions,45000,2005
Undoing,44999,2008
Mr. X,44995,2015
Bed and Breakfast,44947,1992
My Brother The Devil,44906,2013
The Salvation,44903,2015
The Pruitt-Igoe Myth,44883,2012
The Babysitters,44852,2008
Red Cherry,44846,1997
River of Fundament,44840,2015
Union Square,44830,2012
A Kid Like Jake,44824,2018
Suddenly,44806,2003
Pressure Cooker,44803,2009
Double Trouble ,44788,2012
Outrage (2011),44745,2011
The War at Home,44722,1996
The Dog,44581,2014
The Bride Wore Black (2011 re-release),44566,2011
Bandwagon,44544,1997
Moving the Mountain,44536,1995
Defendor,44462,2010
William Eggleston in the Real World,44435,2005
Love the Hard Way,44391,2003
Irina Palm,44383,2008
Desert Flower,44348,2011
Get Bruce!,44337,1999
Lana's Rain,44287,2004
A Melody to Remember,44263,2016
Rodin,44261,2018
Thomas in Love,44256,2001
Madame Bovary,44235,2015
Loaded,44231,1996
Nuts!,44230,2016
Danny Says,44213,2016
Regret to Inform,44204,1999
"Paris, France",44159,1994
Apaharan,44133,2005
Wedding Bell Blues,44052,1997
Digging to China,43961,1998
Phantom of the Theatre,43955,2016
Granito: How to Nail a Dictator,43942,2011
Miss Julie,43941,1999
Food of Love,43922,2002
Le cercle,43918,2001
All Roads Lead Home,43907,2008
Le Rayon Vert (Summer),43839,2011
Band Baaja Baaraat,43820,2010
Animal Factory,43805,2000
Tiny Times 2,43788,2013
Contempt (2013 re-release),43763,2013
The Land,43756,2016
Bereavement,43712,2011
Bloodhounds of Broadway,43671,1989
A Grin Without A Cat,43616,2002
The Golden Boys,43600,2009
Love Etc.,43593,2011
OC87,43583,2012
Edvard Munch (Re-issue),43539,2005
Grbavica: The Land of My Dreams,43460,2007
Mastizaade,43403,2016
If You Build It,43393,2014
Pantaleon Y las Visitadoras,43214,2002
All Together,43180,2012
Road to Ninja - Naruto the Movie,43171,2014
Hermia & Helena,43152,2017
Bluebeard,43144,2017
The Death of Louis XIV,43113,2017
Next Goal Wins,43089,2014
3 Backyards,43073,2011
Nobody Else But You,43040,2012
Springtime in a Small Town,43017,2004
"First Love, Last Rites",42953,1998
Charlie's Country,42937,2015
Hadh Kar Di Aapne,42914,2000
Hammett,42914,1982
Andre Gregory: Before and After Dinner,42892,2013
First We Take Brooklyn,42812,2018
Concussion,42606,2013
Woodshock,42603,2017
Moving McAllister,42538,2007
Interior. Leather Bar.,42534,2014
Blood Ties (2014),42472,2014
Last Call at the Oasis,42423,2012
Fixing the Future,42393,2012
Secret Lives,42390,2003
Zaytoun,42330,2013
Breathe,42297,2015
The Oath,42273,2010
Blonde and Blonder,42183,2008
Restored Me,42173,2016
The We and the I,42172,2013
Pearl Button,42166,2015
Closet Monster,42166,2016
Death of a Dynasty,42108,2005
Mandela,42056,1997
Down for Life,41914,2011
Golden Exits,41888,2018
Azumi,41803,2006
On the Bowery (re-release),41802,2010
We Live in Public,41711,2009
Adored: Diary of a Male Porn Star,41703,2004
For Better or Worse,41628,1995
One Week and a Day,41614,2017
The Slammin' Salmon,41587,2009
The Settlers (2017),41562,2017
Holla II,41537,2013
Animal Behavior,41526,1989
A State of Mind,41468,2005
Fat Kid Rules the World,41457,2012
My Mother's Smile,41432,2005
Brother Minister: The Assassination of Malcolm X,41430,1995
Close Your Eyes,41392,2004
Three Monkeys,41343,2009
Nowitzki,41340,2015
Queen and Country,41297,2015
Dahek,41284,1999
The Betrayal,41271,2008
Censored Voices,41260,2015
Happy New Year,41232,1987
Undead,41196,2005
Love Thy Nature,41149,2015
Colma: The Musical,41131,2007
The Comedy,41113,2012
Karl Marx City,41072,2017
Western,41072,2018
The Myth of the American Sleepover,41045,2011
"Sobibor, October 14, 1943, 4PM",41040,2001
Tom Dowd and the Language of Music,40919,2004
Moving Midway,40864,2008
Simon Magus,40861,2001
The Intruder (2005),40853,2005
Beyond the Gates,40848,2007
Big Man Japan,40796,2009
Hate Crime,40758,2005
Shikari,40712,2000
Hitler's Hollywood,40670,2018
Language of a Broken Heart,40645,2013
Hell and Back Again,40634,2011
Wild Oats,40598,2016
The New Rijksmuseum,40578,2015
Tying the Knot,40576,2004
My Flesh and Blood,40573,2003
The Last Of The Unjust,40563,2014
The FP,40557,2012
The Last Circus,40548,2011
The Phone,40516,2015
The Dhamma Brothers,40492,2008
Sex is Comedy,40470,2004
CBGB,40400,2013
Pulse (1988),40397,1988
Nothing Personal,40374,1997
Louder Than a Bomb,40362,2011
Committed,40361,2000
Bliss (2009),40349,2009
Best of International Tournee Animation,40340,1994
Paan Singh Tomar,40311,2012
Road to Nowhere,40294,2011
Controlled Chaos,40289,2003
Yiddish Theater: A Love Story,40182,2007
Teenage,40169,2014
The Locusts,40158,1997
Margaret Cho: The Assassin Tour,40123,2005
What Our Fathers Did: A Nazi Legacy,40119,2015
Addiction Incorporated,40106,2011
Humor Me,40099,2018
Unrest,40081,2017
La Vie Promise,40029,2004
Submission,39985,2018
Rape of the Soul,39975,2006
Good Luck,39962,1997
Is That a Gun in Your Pocket?,39928,2016
Justice,39895,2004
Loins of Punjab Presents,39891,2008
Killing Season,39881,2013
The Short Game,39819,2013
Absurdistan,39683,2009
Paradise (2017),39622,2017
I Can't Think Straight,39576,2008
Khodorkovsky,39522,2011
The Homeless Billionaire,39493,2016
Refusenik,39456,2008
Mac,39437,1993
B. Monkey,39371,1999
Power Trip,39359,2003
Prophet's Prey,39347,2015
Child of God,39324,2014
Father and Son,39291,2004
La Notte (2016 re-release),39236,2016
Where Soldiers Come From,39201,2011
Sea of Dreams,39200,2007
How to Make Money Selling Drugs,39192,2013
Post Tenebras Lux,39185,2013
Timecrimes (Los Cronocrimenes),39127,2008
Expedition to the End of the World,39115,2014
Tell Them Who You Are,39075,2005
A Personal Journey with Martin Scorsese Through American Movies,39075,1998
44 Inch Chest,39033,2010
L'Enfer,39003,1994
The Girl with Red Hair,39001,1983
The Life of Reilly,38960,2007
Herb and Dorothy 50x50,38933,2013
The Cats of Mirikitani,38925,2007
Stoned,38922,2006
Soldiers of Fortune,38898,2012
Birdboy: The Forgotten Children,38786,2017
Tsahal,38773,1995
Whiteboyz,38738,1999
The Commune,38737,2017
Paul Williams Still Alive,38691,2012
The Wall (2013),38674,2013
Catching the Sun,38613,2016
A Rumor of Angels,38610,2002
Family Law,38605,2006
Rising From Ashes,38602,2013
Spa Night,38578,2016
Berberian Sound Studio,38493,2013
Death by China,38492,2012
The Butterfly,38438,2003
The Fairy,38399,2012
Nine Nation Animation,38382,2010
Small Change (re-issue),38296,2009
Drunks,38268,1997
Lila & Eve,38263,2015
Oh My God?,38244,2009
Shadow Hours,38181,2000
The Hidden Blade,38147,2006
7 Boxes,38106,2014
Germans & Jews,38100,2016
The Legend of Pale Male,38083,2010
Gray Matter,38034,2018
Band of Outsiders (2016 re-issue),38004,2016
Girlhood,37977,2003
Moondance Alexander,37895,2007
Ip Man: The Final Fight,37884,2013
I am the Blues,37849,2017
Koyla,37795,1997
The Heart of Nuba,37788,2018
Come What May,37766,2016
Monsieur N.,37757,2005
Wagner & Me,37745,2012
A Somewhat Gentle Man,37743,2011
Mumia: Long Distance Revolutionary,37731,2013
78/52: Hitchcock's Shower Scene,37664,2017
Millennium Actress,37641,2003
A Woman's Life,37626,2017
Welcome to Woop Woop,37621,1998
Krystal,37516,2018
Incident at Loch Ness,37493,2004
On the Beach at Night Alone,37489,2017
Salmonberries,37484,1994
Dead Snow 2: Red vs. Dead,37473,2014
Big Sur,37466,2013
School Life,37381,2017
Match,37285,2015
Last Resort,37283,2001
Savannah,37240,2013
This Thing of Ours,37227,2003
The Red Baron,37189,2010
Before We Go,37151,2015
The Mafia Only Kills in Summer,37134,2015
Girls vs Gangsters,37115,2018
Benjamin Smoke,37111,2000
Breath,37108,2018
Dadetown,37092,1996
Eating Out 2: Sloppy Seconds,37072,2006
Heart Blackened,37047,2017
Army of Crime,37031,2010
Pavilion of Women,36992,2001
Children of Paradise (2012 re-release),36986,2012
Grey Gardens (2015 re-release),36923,2015
Redemption (2013),36895,2013
Kurukshetra,36890,2000
Trust Fund,36885,2016
Twist (1993),36875,1993
Monkey Warfare,36875,2006
The Body,36849,2001
